,fens,eval_move_final,preds_num
10670065,1k4r1/p2q3p/Pp2R1nB/3r1p1Q/2p5/2Pb2N1/1P3PPP/4R1K1 b - - 2 27,0.0,159.02965
2199155,5r2/6pk/2p1Bqb1/2R4p/pp2P2P/4Q1N1/6PK/8 w - - 1 33,0.07200000000000001,158.9708
11440700,4r1k1/1b5p/1Q1p2p1/NP1Pb2q/P1P1p1n1/4NpP1/2R2P2/5RK1 w - - 2 35,0.0,158.70723
11694470,r5kb/p3Qp2/1p1p2pB/1bqP4/1p6/2n1RN1P/P4PP1/4R1K1 b - - 1 26,0.22,158.58879
5777040,3r4/pR6/P3k1pp/2pq1p2/Q1N5/2P2N1P/4rPP1/6K1 b - - 1 37,0.75,158.37703
7507789,4r1k1/5p2/R4Qp1/1b1Pn3/1q2P1P1/1r6/1p3NKP/1R1B4 w - - 4 34,0.0,158.34717
13350193,4r1k1/1b2r1p1/1pn1pnQ1/p4pP1/2Pp3N/qP1P2P1/4R1BP/4R1K1 b - - 0 29,1.0,158.34254
6347268,2r3k1/ppb2pp1/6np/2Pp1N1r/6Q1/4BP2/PP3KPq/R4R2 w - - 6 27,0.226,158.28784
1423727,2r2rk1/3pbp1p/p3p1p1/3PB1P1/1n1R4/q1NB3Q/2PK1P1P/1R6 w - - 4 23,0.0,158.11304
4423804,2k5/1b1p4/1p3P2/5Q2/q4p2/2P2n2/1P3N1r/1K3RR1 w - - 0 35,0.004,157.95189
11961104,5r1k/7p/1R3pq1/PPp5/2Np4/1n1n1Q1P/5PP1/6K1 b - - 0 35,0.0,157.72083
5658840,4r1k1/1p2ppbp/2pr1npB/p3N3/P1PP3R/qP2Q2P/4RPPK/8 b - - 6 28,0.0,157.4783
8948067,8/3n1p1k/3Nrn1p/Q1P3p1/p3p3/B3N1PP/PP1pqPK1/3R4 b - - 0 35,0.0,157.23267
12344424,6k1/p4ppp/3B4/b2P4/b3P3/3n1PNP/2q1N1P1/Q6K b - - 0 28,0.02,157.1858
5059939,4k1r1/4q2n/P7/P3np1N/3Qb2p/R6P/1P4P1/5B1K b - - 1 39,0.652,157.05713
10772883,4r1k1/2p2pPp/8/3pP1NP/1bnP2Q1/1p4B1/3q1PK1/4R3 b - - 4 30,0.0,156.9292
3743455,4rr1k/8/RpP4p/3P4/2PbP1Qn/3B1p2/3N1qPP/3R3K w - - 0 36,0.0,156.86694
2367864,8/p3rqk1/7p/1p2rpp1/1Q1R3P/2P1pPP1/PP2NnK1/6R1 w - - 0 35,0.038,156.785
7842647,2r2bk1/1p1r1ppp/p3nB2/P4N2/1P2R1Q1/5P1P/3q2P1/4R2K b - - 0 34,0.016,156.67882
228184,R1b2rk1/2p1q3/3p4/2PPbn2/1Q3Bpp/4P3/4N1PN/5K2 w - - 6 33,0.8160000000000001,156.67862
12325335,8/p3r1k1/3pPbp1/2qP1p2/Q1B1nP2/2p1RN2/P4P2/6K1 w - - 6 32,0.408,156.5857
13644359,4Rnk1/2p2p1p/b2rn1pB/6N1/p1q5/2P4P/PPQ3B1/7K b - - 5 34,0.15,156.45522
12489605,3r2k1/1p6/2p5/p1PrnBn1/P2N1p2/1NR3p1/1P4K1/4R3 w - - 0 35,0.7000000000000001,156.4356
3909692,r2q1k1r/p1p3bP/1p2pn2/3p2B1/2Pn1N1Q/3B4/PP1N1P1P/2KR3b b - - 1 14,1.0,156.16866
10355824,2r2bk1/RN6/1P1p2q1/1Q1PnpBp/4p2P/3n2P1/5PB1/6K1 w - - 3 34,0.0,156.06929
9592731,1r1r1k2/q4p1p/2P3pP/1P2Q3/2Bp4/6P1/5P2/6K1 b - - 2 38,0.664,156.01123
9808070,5rk1/p2nb1pp/q1n5/4PP2/2pp1BP1/3b1NN1/Pr4BP/R2QR2K w - - 2 23,0.5539999999999999,155.8667
890550,1n1r2k1/3p2pp/8/1NP2p2/1P5b/PQ3R1R/3pqP2/6K1 b - - 1 31,0.778,155.75644
7415978,3r1rk1/1q1Rn1p1/pPn1P2p/2P1P1B1/4B3/1Q6/7P/6K1 b - - 3 35,0.0,155.71123
9052969,r5k1/5n2/3p3p/2nPqN2/2PN1R2/p3P1PP/Q6K/8 b - - 3 39,0.336,155.59917
2783459,3k1r2/1R1bb3/2n1p3/qB2P2p/P7/2p1QN2/2P2P1P/6K1 b - - 4 29,0.0,155.59547
7886913,8/r3q1pk/2Q1P1pp/1R6/1p1P2P1/5N2/r2b1PK1/3R4 b - - 0 36,0.0,155.3262
13235149,5rk1/1R3pp1/p3p3/2Qn1q1p/P1N4P/1P4P1/2r2PK1/4R3 w - - 1 34,0.0,155.13808
6381686,3r3k/7p/b2q2pP/1p2n3/pP2QN1R/P4P2/1n1pB1P1/R5K1 w - - 2 35,1.0,155.11702
3628663,1q6/3nkp2/1n1Np3/1Q2Pp2/pp1P3P/8/PK2B1r1/2R5 w - - 5 36,0.21,155.04303
13750477,1r3r2/1q2Nppk/p2p1P2/b3p1PP/4b1p1/2P5/pP1Q4/K2RR1B1 b - - 0 32,0.0,155.03851
9833032,6k1/2p1r1p1/2Pb4/4NQ2/pqPB1n2/7P/P5PK/3R4 b - - 0 38,0.392,154.98486
8034628,4r1k1/5pp1/1B1p4/1P1N2bp/P1r1P1n1/2p3q1/2Q2RB1/4RK2 w - - 0 35,0.848,154.9217
6354684,3r2k1/p1R2pp1/1r4bp/K3p3/Q1R5/1PN1q1P1/P3P2P/8 w - - 9 35,0.034,154.79404
3390295,r3q1k1/p6r/3R1Bnp/pb1P2b1/2N1Pp2/1PQ2P2/4K3/6R1 b - - 1 37,0.43799999999999994,154.77814
7919071,r1r3k1/1pB1pp2/2n3p1/2QN3p/p1nPP2P/6P1/qP3PK1/3R3R b - - 2 21,0.0,154.74266
13003784,6k1/1p1P2bp/p7/7P/1n2N1q1/1P1Q2Nb/P1r4P/6RK b - - 0 30,0.0,154.65802
11340855,2Rr4/pp1Pqp1k/4nrp1/4N2p/7P/6Q1/PP6/1K2R3 w - - 2 33,0.278,154.52089
10099417,4R3/5pk1/1r3q2/2bBN1p1/p1P3b1/P5P1/1P1Q1P2/6K1 b - - 7 33,1.0,154.33353
1755508,1r6/1p1Prpkn/p2R2p1/2p1p1P1/P1q1N3/2P3p1/2Q5/4K2R b - - 2 37,0.0,154.2433
3285892,3rkbR1/1p3p2/p3p3/2q1PP2/2pNb3/2r1N2P/4Q2K/3R4 w - - 7 34,0.94,154.21634
3979343,1r2k2r/p7/R2p2P1/1np5/1p1bp1Nq/1P1PBPn1/1PP2RB1/4Q1K1 b k - 3 29,0.13,154.1127
4772265,3r4/p2q1rp1/4Rnk1/3PQp2/1P1BB1p1/4P1P1/5P2/5K2 b - - 0 34,0.0,154.02261
2838133,3r1nk1/1p3p2/p5p1/4Pn2/1P3Q1P/Pq2PR2/1B1pB1PK/2rN4 w - - 15 35,1.0,153.97334
13611727,r6k/5r1p/p2bn2B/2nPp1pP/1R4N1/q1P3P1/4QP2/1R4K1 b - - 0 35,1.0,153.43082
2424570,r3r1k1/1b3ppp/1pn2n2/p2qN1Q1/2pP4/4RN1P/1P3PP1/1B2R1K1 b - - 5 24,0.32799999999999996,153.29791
11272261,r3r1k1/2P3Pn/4R1b1/3np1Pq/8/3PB2B/5QK1/5R2 b - - 8 39,1.0,153.21039
14094816,5r1k/1b3Pp1/2qr2np/p4QN1/7P/1B2R3/1P1p1PP1/5RK1 w - - 8 33,0.0,153.16719
4559245,5rk1/1p5p/pqb2P2/5RPN/1P1pB2p/P4Q2/8/2n4K b - - 5 38,1.0,153.16116
8425623,5rk1/4Qpp1/r6p/8/p1N1Ppn1/5R1K/PP2q1B1/5R2 w - - 4 29,0.0,153.15858
2056156,8/p1Qnk1p1/1r4p1/2b1P3/5p1r/1P2P1qP/P3KRB1/R1B5 w - - 0 25,0.39,153.08925
2773516,1r3kn1/R1NRbp2/1q5p/1p2p3/1n2P3/5Q1P/2P2PP1/6K1 b - - 3 32,0.314,152.99425
11147515,1r4k1/5ppp/r7/2P1p3/1PQ4P/3R2P1/1B2nqBK/8 b - - 3 32,0.0,152.95853
10210297,5k2/1pBr2qp/1P2R1pN/2bp1pP1/2n5/p2Q1P2/P4PKP/8 b - - 6 33,0.6459999999999999,152.89735
9000991,7k/1pp4p/3p2rq/3Pp1n1/p1P1P1R1/P1Nn1pQ1/KP6/6R1 w - - 6 36,1.0,152.73192
329381,3qrk2/R4B1p/2b5/2P3p1/4p3/3pQP2/6nP/R5K1 w - - 1 36,0.0,152.66855
1656173,4r3/2p1rN1p/2P1PQp1/pP5k/P5qP/3n1pP1/5P2/B2R2K1 b - - 1 40,0.002,152.621
7298546,rnq3r1/6pk/p1p1pnRp/1p2Np1P/1bpP1PBB/7P/PPQ4K/6R1 b - - 9 26,0.0,152.61197
10783564,8/1p2p1k1/2qp1rp1/p3p1Np/P1P1Prn1/BP4QP/3N4/1R4K1 w - - 3 32,0.318,152.58965
13499353,r3k2r/1bp1b1pp/p7/1pqpNPPQ/4nR2/1P6/PB5P/4RK2 b - - 1 26,0.0,152.5716
7065037,2r3k1/p2q1p2/5R2/Q2N2p1/P2Pp2b/1P1bP3/KBn2P2/3R4 b - - 2 31,0.0,152.52913
860450,8/6pk/1p4r1/1R1pPp2/3P1q1p/p2QnP1P/2R3P1/7K w - - 2 37,0.7020000000000001,152.43178
2601712,4r1k1/3n1prp/1b1R1n2/1q2p3/1P2N2Q/6P1/1B1R1P1P/6K1 b - - 3 33,0.0,152.43152
10424575,3r1k2/4b1rB/p1q5/1p1bp1pQ/8/PN3pP1/1PP5/1K1R1R2 w - - 6 33,0.0,152.31992
8891605,1r4k1/p3Rp2/6q1/3p4/2pQn2P/6p1/P1P5/1K1R4 w - - 2 29,0.0,152.29169
12295737,1r3rk1/p3npp1/2n4p/3pPB1P/b2P1Q1N/2q1B1P1/2p2R1K/2R5 w - - 6 28,0.022000000000000002,152.24641
7722849,8/p4pbk/3Nb1pp/2P1P1q1/5N2/P3RQ1P/1rr3P1/6RK b - - 8 37,1.0,152.13431
6811951,5Q2/2k2N2/1rb1p3/p3P3/pn1pBP2/B1p1n3/2P1q1PP/R5K1 w - - 10 38,0.0,151.97646
4061436,8/5p1k/4pq1p/5n1p/p1R2Q2/6PB/4rP2/6K1 w - - 0 31,0.0,151.95824
8916941,3r2k1/1p2r1pp/p1q2p2/R1P1nQ2/2PBN3/P2nP2P/5PP1/3R2K1 b - - 0 25,0.008,151.86453
11603718,b6r/3R1p1p/p2Qpkpb/1p5q/3NP3/1B4P1/PP3P1P/4n1K1 b - - 0 22,0.0,151.81891
11283539,r5k1/ppp1q2p/4PR1n/PPr3n1/2B3p1/4Q1P1/8/5R1K b - - 3 34,1.0,151.80269
4061548,4r3/2k2p1p/p7/2p1nR2/6PQ/2prq2P/P5BK/1R6 w - - 0 29,0.0,151.75084
4916210,3q1rk1/4bpp1/br2p2p/4P1NQ/p2nBB1P/P2pR1P1/5P2/R5K1 w - - 2 23,0.0,151.7377
3329472,8/p2qnk2/1r3p2/5n1p/p2B2pP/2P3P1/R2Q4/1r1B1RK1 w - - 0 39,0.0,151.7211
